Starlink_orbit2_6.UTCGregorian   Starlink_orbit2_6.EarthMJ2000Eq.X   Starlink_orbit2_6.EarthMJ2000Eq.Y   Starlink_orbit2_6.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000         3560.249579769511                   5502.459222900532                   2224.366523320266                   
01 Jan 2024 12:00:28.000         3340.485287980908                   5465.33363165756                    2621.322144736183                   
01 Jan 2024 12:01:57.255         2987.116819980197                   5366.411494298457                   3190.269561822785                   
01 Jan 2024 12:03:30.632         2586.887882418896                   5207.971583701405                   3752.637304416508                   
01 Jan 2024 12:05:04.463         2157.444223260599                   4993.848049976317                   4278.043994454392                   
01 Jan 2024 12:06:38.337         1704.992148349128                   4726.82945943815                    4758.340407336772                   
01 Jan 2024 12:08:12.213         1234.510530173827                   4409.846511642617                   5188.214000007067                   
01 Jan 2024 12:09:46.094         750.9622443176967                   4046.258165341574                   5563.144959561852                   
01 Jan 2024 12:11:19.980         259.4525950120026                   3639.914051843981                   5879.183310042197                   
01 Jan 2024 12:12:53.869         -234.8117599234392                  3195.128149730245                   6132.989051018534                   
01 Jan 2024 12:14:27.759         -726.6018094530941                  2716.615525573571                   6321.886773511277                   
01 Jan 2024 12:16:01.655         -1210.757992993124                  2209.400527981609                   6443.896678469705                   
01 Jan 2024 12:17:35.562         -1682.187849601274                  1678.812985970875                   6497.723000986514                   
01 Jan 2024 12:19:09.483         -2135.931499606194                  1130.420900889472                   6482.772863905287                   
01 Jan 2024 12:20:43.421         -2567.198278985338                  569.990650330322                    6399.163026260773                   
01 Jan 2024 12:22:17.380         -2971.430431980306                  3.411263471174415                   6247.719989002352                   
01 Jan 2024 12:23:51.365         -3344.344181168492                  -563.3599536712024                  6029.970200081094                   
01 Jan 2024 12:25:25.373         -3681.944608051748                  -1124.308704273809                  5748.151326912533                   
01 Jan 2024 12:26:59.394         -3980.575524429654                  -1673.415892887243                  5405.224779615828                   
01 Jan 2024 12:28:33.401         -4236.970455342597                  -2204.707132273602                  5004.895275691566                   
01 Jan 2024 12:30:07.382         -4448.377208756398                  -2712.47686473491                   4551.476289969218                   
01 Jan 2024 12:31:41.333         -4612.559695950935                  -3191.331006940872                  4049.818162478195                   
01 Jan 2024 12:33:15.253         -4727.791906227092                  -3636.198129261229                  3505.275349566755                   
01 Jan 2024 12:34:49.140         -4792.869728300311                  -4042.363378694857                  2923.670978117799                   
01 Jan 2024 12:36:22.992         -4807.129528962393                  -4405.537343533577                  2311.213778711882                   
01 Jan 2024 12:37:56.808         -4770.451582825362                  -4721.899615684539                  1674.427886478753                   
01 Jan 2024 12:39:30.591         -4683.258426861747                  -4988.134054636467                  1020.086631173929                   
01 Jan 2024 12:41:04.346         -4546.502025315527                  -5201.470215614159                  355.1118793905611                   
01 Jan 2024 12:42:38.076         -4361.655162103436                  -5359.691505022904                  -313.4588783527234                  
01 Jan 2024 12:44:11.789         -4130.68528556239                   -5461.166480947622                  -978.5832862712348                  
01 Jan 2024 12:45:45.491         -3856.040157653109                  -5504.853054191393                  -1633.252118733485                  
01 Jan 2024 12:47:19.185         -3540.635536253566                  -5490.313428688447                  -2270.542007010255                  
01 Jan 2024 12:48:52.871         -3187.826051194833                  -5417.728748847943                  -2883.702983003066                  
01 Jan 2024 12:50:26.554         -2801.335440198864                  -5287.888701359795                  -3466.287117892181                  
01 Jan 2024 12:52:00.244         -2385.221559023638                  -5102.170674288875                  -4012.18555428511                   
01 Jan 2024 12:53:33.946         -1943.85316542395                   -4862.529501194095                  -4515.659509234106                  
01 Jan 2024 12:55:07.662         -1481.893683355847                  -4571.499131866269                  -4971.377713089113                  
01 Jan 2024 12:56:41.396         -1004.190512028262                  -4232.132203938771                  -5374.54241945278                   
01 Jan 2024 12:58:15.154         -515.7576453152791                  -3847.982574129034                  -5720.895299810733                  
01 Jan 2024 12:59:48.943         -21.72243236072261                  -3423.067843972988                  -6006.763262320209                  
01 Jan 2024 13:01:22.765         472.722835755442                    -2961.831787838848                  -6229.093916479368                  
01 Jan 2024 13:02:56.624         962.3660590098503                   -2469.108053580817                  -6385.486360347397                  
01 Jan 2024 13:04:30.518         1442.017633843634                   -1950.086759683736                  -6474.2211193908                    
01 Jan 2024 13:06:04.450         1906.598839117539                   -1410.227555667559                  -6494.292055541512                  
01 Jan 2024 13:07:38.416         2351.163879560237                   -855.2375256038733                  -6445.413643148887                  
01 Jan 2024 13:09:12.413         2770.963253831712                   -291.0040249390174                  -6328.03522198405                   
01 Jan 2024 13:10:46.426         3161.460266753132                   276.4110771335643                   -6143.365514530936                  
01 Jan 2024 13:12:20.445         3518.45216284329                    840.9242589603878                   -5893.356332220415                  
01 Jan 2024 13:13:54.447         3838.071008707736                   1396.422549333178                   -5580.718133982573                  
01 Jan 2024 13:15:28.425         4116.91093883584                    1936.967025918698                   -5208.826685501273                  
01 Jan 2024 13:17:02.380         4352.040201128042                   2456.84839287937                    -4781.649631806982                  
01 Jan 2024 13:18:36.321         4540.993516132876                   2950.598552874551                   -4303.709655241901                  
01 Jan 2024 13:20:10.243         4681.769241235616                   3412.972189376686                   -3780.110865409098                  
01 Jan 2024 13:21:44.147         4772.886085915598                   3839.0775893145                     -3216.425813642614                  
01 Jan 2024 13:23:18.041         4813.390893986169                   4224.433121803258                   -2618.611385913907                  
01 Jan 2024 13:24:51.928         4802.856047967103                   4564.970248621651                   -1992.997627158146                  
01 Jan 2024 13:26:25.816         4741.386905705031                   4857.098410552885                   -1346.187972972043                  
01 Jan 2024 13:27:59.702         4629.631184385183                   5097.708133671045                   -685.0730338793149                  
01 Jan 2024 13:29:33.580         4468.786344401567                   5284.238610223683                   -16.72589665850756                  
01 Jan 2024 13:31:07.456         4260.561509819171                   5414.733072565396                   651.7764270180544                   
01 Jan 2024 13:32:41.337         4007.149086651385                   5487.826812418722                   1313.391794732392                   
01 Jan 2024 13:34:15.232         3711.210897954685                   5502.74687466909                    1961.141917984389                   
01 Jan 2024 13:35:49.125         3375.942819796517                   5459.341254377617                   2588.028843407032                   
01 Jan 2024 13:37:23.016         3004.910316405966                   5358.096542506696                   3187.411928604747                   
01 Jan 2024 13:38:56.912         2602.035167158381                   5200.102774649042                   3752.973750172849                   
01 Jan 2024 13:40:30.802         2171.641709840861                   4987.07901464149                    4278.668751774161                   
01 Jan 2024 13:42:04.682         1718.327285594022                   4721.333334655355                   4758.924583674373                   
01 Jan 2024 13:43:38.556         1246.875318224722                   4405.700626623244                   5188.71455328952                    
01 Jan 2024 13:45:12.435         762.2251046441977                   4043.506993421121                   5563.55811402757                    
01 Jan 2024 13:46:46.319         269.4966628157402                   3638.589724645783                   5879.504362417469                   
01 Jan 2024 13:48:20.205         -226.0864190573997                  3195.251860110222                   6133.213598861465                   
01 Jan 2024 13:49:54.097         -719.3149079928899                  2718.160624372336                   6322.024835524743                   
01 Jan 2024 13:51:27.995         -1204.987462905632                  2212.348135039032                   6443.943602797766                   
