Starlink_10.UTCGregorian   Starlink_10.EarthMJ2000Eq.X   Starlink_10.EarthMJ2000Eq.Y   Starlink_10.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000   2765.622559446644             5710.836695454539             2763.678182518654             
01 Jan 2024 12:00:28.000   2431.07959690457              5705.295878075859             3072.384000885425             
01 Jan 2024 12:01:57.255   1914.403613851976             5651.41378269792              3506.556705405738             
01 Jan 2024 12:03:30.632   1354.344008022065             5537.185960756228             3924.709181884344             
01 Jan 2024 12:05:04.463   777.297019156906              5364.029194804325             4303.392440108165             
01 Jan 2024 12:06:38.337   191.7653472561544             5134.086861314953             4636.632117131085             
01 Jan 2024 12:08:12.213   -395.8043866364886            4849.871095210667             4920.731444192339             
01 Jan 2024 12:09:46.094   -979.2210443190896            4514.387722233839             5152.699256222227             
01 Jan 2024 12:11:19.980   -1552.326773053715            4131.182153611744             5330.084793611284             
01 Jan 2024 12:12:53.869   -2109.048986079165            3704.31708769979              5451.00564408021              
01 Jan 2024 12:14:27.759   -2643.49384619833             3238.314088100956             5514.180622031266             
01 Jan 2024 12:16:01.655   -3150.045225382879            2738.064334581491             5518.938745627755             
01 Jan 2024 12:17:35.562   -3623.359617396777            2208.824172665471             5465.210306409501             
01 Jan 2024 12:19:09.483   -4058.436283837284            1656.148954472362             5353.530461159094             
01 Jan 2024 12:20:43.421   -4450.655837811334            1085.85328209561              5185.038009269841             
01 Jan 2024 12:22:17.380   -4795.843023496724            503.9343244017216             4961.462101611071             
01 Jan 2024 12:23:51.365   -5090.304465879537            -83.48440320948362            4685.104678861268             
01 Jan 2024 12:25:25.373   -5330.847370277764            -670.1643860793938            4358.847220846124             
01 Jan 2024 12:26:59.394   -5514.832312540355            -1249.804573963104            3986.150764477127             
01 Jan 2024 12:28:33.401   -5640.229022822477            -1816.090583087698            3571.061751711709             
01 Jan 2024 12:30:07.382   -5705.695817214176            -2362.931721014278            3118.063323617575             
01 Jan 2024 12:31:41.333   -5710.559038022353            -2884.51029228112             2632.009388662382             
01 Jan 2024 12:33:15.253   -5654.796670304334            -3375.295893816239            2118.095529195029             
01 Jan 2024 12:34:49.140   -5539.038222604904            -3830.08253172604             1581.823673580497             
01 Jan 2024 12:36:22.992   -5364.556377407132            -4244.064386993256            1028.922680991074             
01 Jan 2024 12:37:56.808   -5133.247862361712            -4612.88483190122             465.2839728575923             
01 Jan 2024 12:39:30.591   -4847.610661425882            -4932.676548306338            -103.0979023545313            
01 Jan 2024 12:41:04.346   -4510.69990969234             -5200.110411142805            -670.2129184892283            
01 Jan 2024 12:42:38.076   -4126.108897841563            -5412.405427113               -1230.063062235655            
01 Jan 2024 12:44:11.789   -3697.909386518039            -5567.368134672543            -1776.755640510906            
01 Jan 2024 12:45:45.491   -3230.625996417342            -5663.399044920896            -2304.533658915238            
01 Jan 2024 12:47:19.185   -2729.208311796638            -5699.511214019921            -2807.819754847319            
01 Jan 2024 12:48:52.871   -2198.976252884973            -5675.351517963715            -3281.287688700885            
01 Jan 2024 12:50:26.554   -1645.513650636017            -5591.200291537719            -3719.961918055097            
01 Jan 2024 12:52:00.244   -1074.62378765319             -5447.953464652546            -4119.242663927133            
01 Jan 2024 12:53:33.946   -492.2982323079153            -5247.115130270721            -4474.928339656624            
01 Jan 2024 12:55:07.662   95.30959697468212             -4990.802843487836            -4783.245532939603            
01 Jan 2024 12:56:41.396   682.0297410850865             -4681.697701925409            -5040.938165304624            
01 Jan 2024 12:58:15.154   1261.693918072103             -4323.028125971199            -5245.269439201537            
01 Jan 2024 12:59:48.943   1828.201022133843             -3918.536686298021            -5394.052024028773            
01 Jan 2024 13:01:22.765   2375.575061850404             -3472.445898566266            -5485.670159125295            
01 Jan 2024 13:02:56.624   2898.018775172668             -2989.424735512573            -5519.09835440175             
01 Jan 2024 13:04:30.518   3389.964505372709             -2474.557732937357            -5493.919941371286            
01 Jan 2024 13:06:04.450   3846.170525595661             -1933.26012467832             -5410.337220442718            
01 Jan 2024 13:07:38.416   4261.745639418905             -1371.255922275755            -5269.173805986395            
01 Jan 2024 13:09:12.413   4632.215991182922             -794.5109523445662            -5071.873957058488            
01 Jan 2024 13:10:46.426   4953.549594885118             -209.2282254728032            -4820.521091013967            
01 Jan 2024 13:12:20.445   5222.269479577467             378.3080388353517             -4517.796430741958            
01 Jan 2024 13:13:54.447   5435.459941651869             961.7243721315576             -4166.992275283765            
01 Jan 2024 13:15:28.425   5590.861333727211             1534.771119590907             -3771.899527601814            
01 Jan 2024 13:17:02.380   5686.859077755226             2091.385026423123             -3336.73814625632             
01 Jan 2024 13:18:36.321   5722.46458938725              2625.704467554505             -2866.124681026689            
01 Jan 2024 13:20:10.243   5697.320095874004             3132.049273406386             -2365.095526473447            
01 Jan 2024 13:21:44.147   5611.717928865942             3605.061366653868             -1838.992024895165            
01 Jan 2024 13:23:18.041   5466.581183381589             4039.768029483701             -1293.382394419427            
01 Jan 2024 13:24:51.928   5263.456764695131             4431.585352729945             -734.0516400019665            
01 Jan 2024 13:26:25.816   5004.490863650386             4776.390652510793             -166.9099906037045            
01 Jan 2024 13:27:59.702   4692.441452290914             5070.523606423967             401.9968595689302             
01 Jan 2024 13:29:33.580   4330.652501066544             5310.861458492504             966.5831475958356             
01 Jan 2024 13:31:07.456   3922.961677144008             5494.88775905453              1520.874459711825             
01 Jan 2024 13:32:41.337   3473.660829406989             5620.682429037107             2059.035604642388             
01 Jan 2024 13:34:15.232   2987.473852530225             5686.922949933702             2575.392740382832             
01 Jan 2024 13:35:49.125   2469.645511642755             5692.906530526516             3064.371726449447             
01 Jan 2024 13:37:23.016   1925.666760783323             5638.597380244823             3520.799476478833             
01 Jan 2024 13:38:56.912   1361.273323800137             5524.588720332543             3939.869699593025             
01 Jan 2024 13:40:30.802   782.507298048434              5352.124762802724             4317.106438687944             
01 Jan 2024 13:42:04.682   195.5306514962815             5123.077036317112             4648.516030168209             
