Starlink_30.UTCGregorian   Starlink_30.EarthMJ2000Eq.X   Starlink_30.EarthMJ2000Eq.Y   Starlink_30.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000   4183.99433185594              1848.412924737927             -5194.01598867959             
01 Jan 2024 12:00:28.000   3878.438622510201             2166.38812259993              -5307.062995144845            
01 Jan 2024 12:01:57.255   3393.348607382738             2621.703708408156             -5432.619419456461            
01 Jan 2024 12:03:30.632   2851.274203754794             3071.200777887811             -5508.31758718444             
01 Jan 2024 12:05:04.463   2276.588145297922             3490.568673525323             -5526.284421886448            
01 Jan 2024 12:06:38.337   1677.619006708594             3873.30685640841              -5485.797917135948            
01 Jan 2024 12:08:12.213   1060.937493127258             4215.182562488094             -5387.265884562383            
01 Jan 2024 12:09:46.094   433.0298361481049             4512.595120146312             -5231.722003188946            
01 Jan 2024 12:11:19.980   -199.4862489843925            4762.399154373271             -5020.798099090339            
01 Jan 2024 12:12:53.869   -829.9151161137304            4961.9384870851               -4756.720091363151            
01 Jan 2024 12:14:27.759   -1451.585582131805            5109.091708362055             -4442.279311633438            
01 Jan 2024 12:16:01.655   -2057.967869511815            5202.298706581801             -4080.771937947876            
01 Jan 2024 12:17:35.562   -2642.67170662615             5240.553722610127             -3675.992685745272            
01 Jan 2024 12:19:09.483   -3199.53110303787             5223.42188561504              -3232.187856539135            
01 Jan 2024 12:20:43.421   -3722.652857730287            5151.045734894328             -2754.025143284734            
01 Jan 2024 12:22:17.380   -4206.497763949787            5024.145355655299             -2246.53149400567             
01 Jan 2024 12:23:51.365   -4645.93280517285             4844.009951391475             -1715.043782381815            
01 Jan 2024 12:25:25.373   -5036.252418129758            4612.50589763993              -1165.201005115311            
01 Jan 2024 12:26:59.394   -5373.242075797109            4332.084623054734             -602.9039471797377            
01 Jan 2024 12:28:33.401   -5653.242816141798            4005.79548953532              -34.27952456130682            
01 Jan 2024 12:30:07.382   -5873.291518703684            3637.172880481371             534.5495224393885             
01 Jan 2024 12:31:41.333   -6031.114690863184            3230.175152854014             1097.5266311617               
01 Jan 2024 12:33:15.253   -6125.115136483352            2789.155424945135             1648.683347256351             
01 Jan 2024 12:34:49.140   -6154.379594167849            2318.830375742511             2182.179425228151             
01 Jan 2024 12:36:22.992   -6118.690071434959            1824.211171316589             2692.386899409383             
01 Jan 2024 12:37:56.808   -6018.517608607787            1310.545823718751             3173.948275250369             
01 Jan 2024 12:39:30.591   -5855.010424320642            783.2658208501913             3621.825758279515             
01 Jan 2024 12:41:04.346   -5629.965969755674            247.9061039193173             4031.367107312395             
01 Jan 2024 12:42:38.076   -5345.814926484331            -289.9193321238228            4398.320153719185             
01 Jan 2024 12:44:11.789   -5005.578083547777            -824.6036522153577            4718.893709835002             
01 Jan 2024 12:45:45.491   -4612.845203878411            -1350.574145539641            4989.770892639627             
01 Jan 2024 12:47:19.185   -4171.756350049239            -1862.330698874224            5208.136817143908             
01 Jan 2024 12:48:52.871   -3686.960821990061            -2354.512116781991            5371.719385367932             
01 Jan 2024 12:50:26.554   -3163.523820103167            -2821.995557726014            5478.825991277289             
01 Jan 2024 12:52:00.244   -2606.88429797559             -3259.922905368246            5528.339984276151             
01 Jan 2024 12:53:33.946   -2022.828147408417            -3663.723099438849            5519.724460769327             
01 Jan 2024 12:55:07.662   -1417.469475713714            -4029.140573928099            5453.038870686078             
01 Jan 2024 12:56:41.396   -797.1082392341538            -4352.335724034823            5328.9391368037               
01 Jan 2024 12:58:15.154   -168.2118925123346            -4629.890058236246            5148.669159759813             
01 Jan 2024 12:59:48.943   462.6511912340875             -4858.844325294926            4914.051177801829             
01 Jan 2024 13:01:22.765   1088.872535218964             -5036.729129467245            4627.47234393459              
01 Jan 2024 13:02:56.624   1703.861054580373             -5161.592376564546            4291.870367988976             
01 Jan 2024 13:04:30.518   2301.098080749785             -5232.02637680063             3910.720643997221             
01 Jan 2024 13:06:04.450   2874.250201276809             -5247.196502027535            3487.980723446983             
01 Jan 2024 13:07:38.416   3417.199271666613             -5206.849937288126            3028.076598635291             
01 Jan 2024 13:09:12.413   3924.124345954192             -5111.329505115325            2535.85467982802              
01 Jan 2024 13:10:46.426   4389.527022333859             -4961.59522927756             2016.5855057683               
01 Jan 2024 13:12:20.445   4808.382097793948             -4759.212007457229            1475.834582957481             
01 Jan 2024 13:13:54.447   5176.142481377079             -4506.362397043263            919.4721576228951             
01 Jan 2024 13:15:28.425   5488.890048475208             -4205.770502149222            353.474603097169              
01 Jan 2024 13:17:02.380   5743.345533245403             -3860.641453454653            -216.149208061322             
01 Jan 2024 13:18:36.321   5936.856263711594             -3474.62994717126             -783.3829872477286            
01 Jan 2024 13:20:10.243   6067.394056790384             -3051.859534527158            -1342.180828930124            
01 Jan 2024 13:21:44.147   6133.614191435659             -2596.829310247577            -1886.614026676953            
01 Jan 2024 13:23:18.041   6134.855893509987             -2114.344204556838            -2410.947400927684            
01 Jan 2024 13:24:51.928   6071.135575165056             -1609.504571499036            -2909.645724592913            
01 Jan 2024 13:26:25.816   5943.145062240804             -1087.62486006721             -3377.460889573017            
01 Jan 2024 13:27:59.702   5752.261546841093             -554.244620902326             -3809.427905345018            
01 Jan 2024 13:29:33.580   5500.545846791262             -15.04465434134512            -4200.954808577874            
01 Jan 2024 13:31:07.456   5190.679480970492             524.2956913124616             -4547.92938668052             
01 Jan 2024 13:32:41.337   4825.925808274314             1058.127895685761             -4846.721415694356            
01 Jan 2024 13:34:15.232   4410.110656198944             1580.855336095073             -5094.190837960565            
01 Jan 2024 13:35:49.125   3947.709303973062             2086.863318143518             -5287.678917465965            
01 Jan 2024 13:37:23.016   3443.615691481835             2570.820770283001             -5425.15831053189             
01 Jan 2024 13:38:56.912   2903.131179222733             3027.650596296906             -5505.192377299053            
01 Jan 2024 13:40:30.802   2332.028162160935             3452.486465196738             -5526.937324248183            
01 Jan 2024 13:42:04.682   1736.377482491428             3840.834358425135             -5490.184843021126            
01 Jan 2024 13:43:38.556   1122.438390302487             4188.630967409342             -5395.340868071637            
01 Jan 2024 13:45:12.435   496.6234860279433             4492.244746706935             -5243.399742289337            
01 Jan 2024 13:46:46.319   -134.4679663522714            4748.463809396273             -5035.956670925604            
01 Jan 2024 13:48:20.205   -764.150778849116             4954.563768767773             -4775.203775460536            
01 Jan 2024 13:49:54.097   -1385.804526474317            5108.364837769182             -4463.876020517163            
01 Jan 2024 13:51:27.995   -1992.865809078883            5208.224474759782             -4105.249034188144            
01 Jan 2024 13:53:01.904   -2578.939314671596            5253.066556870861             -3703.085141092119            
01 Jan 2024 13:54:35.825   -3137.822544485213            5242.38725717046              -3261.620499277346            
01 Jan 2024 13:56:09.763   -3663.623571788036            5176.262830187595             -2785.48271637194             
