Starlink_orbit2_5.UTCGregorian   Starlink_orbit2_5.EarthMJ2000Eq.X   Starlink_orbit2_5.EarthMJ2000Eq.Y   Starlink_orbit2_5.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000         383.5249632257795                   3225.51992887901                    6111.396795413222                   
01 Jan 2024 12:00:28.000         20.94594050918646                   2984.505763959698                   6244.430653367795                   
01 Jan 2024 12:01:57.255         -518.1181242242468                  2602.512365031509                   6392.271802553309                   
01 Jan 2024 12:03:30.632         -1076.712291890773                  2176.400172862756                   6481.561127592797                   
01 Jan 2024 12:05:04.463         -1626.703575790842                  1725.374995668529                   6503.040280183282                   
01 Jan 2024 12:06:38.337         -2159.820543821325                  1255.971972595375                   6455.862605391449                   
01 Jan 2024 12:08:12.213         -2670.201779793795                  773.3329789427635                   6340.508247655701                   
01 Jan 2024 12:09:46.094         -3152.487978784458                  282.5253815716264                   6158.190718447257                   
01 Jan 2024 12:11:19.980         -3601.600758855257                  -211.288008187888                   5910.824047774204                   
01 Jan 2024 12:12:53.869         -4012.789766938662                  -702.8906508523597                  5601.017993640256                   
01 Jan 2024 12:14:27.759         -4381.708868632321                  -1187.092022152612                  5232.044428292625                   
01 Jan 2024 12:16:01.655         -4704.48443526865                   -1658.818428552787                  4807.766342237037                   
01 Jan 2024 12:17:35.562         -4977.709213437503                  -2113.111218334794                  4332.63055488913                    
01 Jan 2024 12:19:09.483         -5198.489858604656                  -2545.192562314967                  3811.612766728846                   
01 Jan 2024 12:20:43.421         -5364.471929333487                  -2950.50300080752                   3250.182278581629                   
01 Jan 2024 12:22:17.380         -5473.873906772589                  -3324.764332415811                  2654.229187814055                   
01 Jan 2024 12:23:51.365         -5525.502755305069                  -3664.01991626496                   2030.006566978825                   
01 Jan 2024 12:25:25.373         -5518.768617918908                  -3964.651133037291                  1384.121369370948                   
01 Jan 2024 12:26:59.394         -5453.717054436042                  -4223.426654088324                  723.4871119516563                   
01 Jan 2024 12:28:33.401         -5331.06525734858                   -4437.55241302672                   55.28205971575688                   
01 Jan 2024 12:30:07.382         -5152.177387290518                  -4604.779035371637                  -613.3213314095259                  
01 Jan 2024 12:31:41.333         -4919.016594097244                  -4723.396007684923                  -1275.229284400658                  
01 Jan 2024 12:33:15.253         -4634.117396727222                  -4792.220519951375                  -1923.452357383395                  
01 Jan 2024 12:34:49.140         -4300.565346326151                  -4810.602438763979                  -2551.152248213649                  
01 Jan 2024 12:36:22.992         -3921.950408703784                  -4778.43170272328                   -3151.740100980985                  
01 Jan 2024 12:37:56.808         -3502.321480423985                  -4696.132152543661                  -3718.944175349852                  
01 Jan 2024 12:39:30.591         -3046.1418459583                    -4564.651053967388                  -4246.866744207873                  
01 Jan 2024 12:41:04.346         -2558.218512094618                  -4385.435984268816                  -4730.060418108885                  
01 Jan 2024 12:42:38.076         -2043.677701733429                  -4160.421617267951                  -5163.543834238531                  
01 Jan 2024 12:44:11.789         -1507.883817926833                  -3891.99512999182                   -5542.871999288491                  
01 Jan 2024 12:45:45.491         -956.4114704354138                  -3582.979422470471                  -5864.150513982946                  
01 Jan 2024 12:47:19.185         -395.0103502818632                  -3236.618403673997                  -6124.066764197424                  
01 Jan 2024 12:48:52.871         170.4595245572252                   -2856.544960485057                  -6319.936836561215                  
01 Jan 2024 12:50:26.554         734.1387173018132                   -2446.708386893044                  -6449.748278863331                  
01 Jan 2024 12:52:00.244         1290.204017430963                   -2011.342350221873                  -6512.155515997115                  
01 Jan 2024 12:53:33.946         1832.894643840036                   -1554.944959279688                  -6506.484119565641                  
01 Jan 2024 12:55:07.662         2356.539541647925                   -1082.265206104766                  -6432.750442051219                  
01 Jan 2024 12:56:41.396         2855.689827973726                   -598.192974347961                   -6291.663196849772                  
01 Jan 2024 12:58:15.154         3325.129182896185                   -107.7460410370153                  -6084.614324529951                  
01 Jan 2024 12:59:48.943         3759.929012918336                   383.9806472525802                   -5813.669196368081                  
01 Jan 2024 13:01:22.765         4155.495945560654                   871.8612627025198                   -5481.552599134689                  
01 Jan 2024 13:02:56.624         4507.615892484286                   1350.782924524199                   -5091.63381163027                   
01 Jan 2024 13:04:30.518         4812.497120707642                   1815.687783613464                   -4647.913565975901                  
01 Jan 2024 13:06:04.450         5066.839311349616                   2261.660312123753                   -4154.961357073651                  
01 Jan 2024 13:07:38.416         5267.853243626893                   2683.950335668321                   -3617.90126133189                   
01 Jan 2024 13:09:12.413         5413.306488456096                   3078.036750827199                   -3042.357695481197                  
01 Jan 2024 13:10:46.426         5501.550959518265                   3439.647515060306                   -2434.461453971849                  
01 Jan 2024 13:12:20.445         5531.57907470883                    3764.87727433511                    -1800.700001650493                  
01 Jan 2024 13:13:54.447         5503.03645702109                    4050.191898326118                   -1147.929857840095                  
01 Jan 2024 13:15:28.425         5416.23163385571                    4292.546427573128                   -483.1441957152039                  
01 Jan 2024 13:17:02.380         5272.097112737715                   4489.393463959585                   186.6139737692787                   
01 Jan 2024 13:18:36.321         5072.162041637597                   4638.674390084528                   854.2819092296947                   
01 Jan 2024 13:20:10.243         4818.5660121715                     4738.818563661677                   1512.751545370439                   
01 Jan 2024 13:21:44.147         4514.016222331738                   4788.789499649399                   2155.042962320499                   
01 Jan 2024 13:23:18.041         4161.736734993075                   4788.085404764761                   2774.395362376784                   
01 Jan 2024 13:24:51.928         3765.457758973295                   4736.734048150639                   3364.275518227509                   
01 Jan 2024 13:26:25.816         3329.35500719969                    4635.291049969646                   3918.481394806156                   
01 Jan 2024 13:27:59.702         2858.061454856251                   4484.847431317297                   4431.137723819396                   
01 Jan 2024 13:29:33.580         2356.604727044389                   4287.027596627625                   4896.802408976806                   
01 Jan 2024 13:31:07.456         1830.275444040966                   4043.939405475491                   5310.593318273095                   
01 Jan 2024 13:32:41.337         1284.588774818729                   3758.143355207507                   5668.191143705174                   
01 Jan 2024 13:34:15.232         725.2605002695664                   3432.637004054351                   5965.848866362775                   
01 Jan 2024 13:35:49.125         158.2951058569214                   3070.922581931106                   6200.379624668635                   
01 Jan 2024 13:37:23.016         -410.3330877411072                  2676.826044561465                   6369.336336856202                   
01 Jan 2024 13:38:56.912         -974.6628914993466                  2254.488298893499                   6470.963219695916                   
01 Jan 2024 13:40:30.802         -1528.687291528731                  1808.41485474664                    6504.196948104953                   
01 Jan 2024 13:42:04.682         -2066.544781054497                  1343.340983555201                   6468.718821950576                   
01 Jan 2024 13:43:38.556         -2582.60862211839                   864.1459868226708                   6364.930801950301                   
01 Jan 2024 13:45:12.435         -3071.502227837222                  375.8260767320785                   6193.925235657745                   
01 Jan 2024 13:46:46.319         -3528.075754316638                  -116.4794271591167                  5957.498949270405                   
01 Jan 2024 13:48:20.205         -3947.498305192373                  -607.5665199228822                  5658.149837007329                   
01 Jan 2024 13:49:54.097         -4325.363658310248                  -1092.283801471939                  5299.015029900888                   
01 Jan 2024 13:51:27.995         -4657.681306441772                  -1565.526180119862                  4883.868259437788                   
01 Jan 2024 13:53:01.904         -4940.944942770077                  -2022.321229913303                  4417.057733842496                   
01 Jan 2024 13:54:35.825         -5172.14708433112                   -2457.84823139543                   3903.491412766285                   
01 Jan 2024 13:56:09.763         -5348.834897022423                  -2867.529731287134                  3348.541499970614                   
01 Jan 2024 13:57:43.720         -5469.111887949498                  -3247.035492060883                  2758.038778457636                   
01 Jan 2024 13:59:17.703         -5531.672431755459                  -3592.35350460639                   2138.182962080768                   
01 Jan 2024 14:00:51.711         -5535.812458656354                  -3899.818779569177                  1495.500295740434                   
01 Jan 2024 14:02:25.732         -5481.458059962686                  -4166.113251905736                  836.8937318784949                   
01 Jan 2024 14:03:59.737         -5369.212650287267                  -4388.35930824341                   169.5278053587594                   
01 Jan 2024 14:05:33.715         -5200.329012997292                  -4564.224357420807                  -499.4420836575048                  
01 Jan 2024 14:07:07.663         -4976.664568597966                  -4691.906218869295                  -1162.917949101934                  
01 Jan 2024 14:08:41.580         -4700.655238607786                  -4770.125736498757                  -1813.890027515177                  
01 Jan 2024 14:10:15.463         -4375.28983887799                   -4798.13375300137                   -2445.497001230397                  
01 Jan 2024 14:11:49.311         -4004.070986816803                  -4775.717244386519                  -3051.108156981107                  
01 Jan 2024 14:13:23.124         -3590.977892810894                  -4703.197795626069                  -3624.38601403297                   
01 Jan 2024 14:14:56.903         -3140.402906040329                  -4581.420039130286                  -4159.373865621236                  
01 Jan 2024 14:16:30.654         -2657.098585851769                  -4411.731554739566                  -4650.54670798507                   
01 Jan 2024 14:18:04.380         -2146.135185779124                  -4195.964391621274                  -5092.847247811857                  
01 Jan 2024 14:19:38.090         -1612.851228410288                  -3936.414197147532                  -5481.728967223192                  
01 Jan 2024 14:21:11.791         -1062.779783016667                  -3635.803496449871                  -5813.208355503664                  
01 Jan 2024 14:22:45.486         -501.659977255667                   -3297.28915489642                   -6083.860669917119                  
01 Jan 2024 14:24:19.174         64.6529892248623                    -2924.419575215673                  -6290.887847728068                  
01 Jan 2024 14:25:52.861         630.2857254718709                   -2521.071608622589                  -6432.157317826591                  
01 Jan 2024 14:27:26.553         1189.37915870086                    -2091.423533432485                  -6506.20210617775                   
01 Jan 2024 14:29:00.256         1736.139887946388                   -1639.91719656912                   -6512.231119893361                  
01 Jan 2024 14:30:33.972         2264.864015530311                   -1171.244094419606                  -6450.141660756004                  
01 Jan 2024 14:32:07.705         2770.046942592739                   -690.2564626962238                  -6320.524370759357                  
01 Jan 2024 14:33:41.463         3246.417503831728                   -201.9337189933212                  -6124.6522096669                    
01 Jan 2024 14:35:15.250         3688.977803924423                   288.6537032925492                   -5864.473907347477                  
01 Jan 2024 14:36:49.071         4093.0560549693                     776.3943405875508                   -5542.600990153949                  
01 Jan 2024 14:38:22.930         4454.351745099949                   1256.17992565782                    -5162.293468704826                  
01 Jan 2024 14:39:56.827         4768.98642428212                    1722.958896619424                   -4727.435710592001                  
01 Jan 2024 14:41:30.760         5033.547647101884                   2171.784694739872                   -4242.511265028033                  
01 Jan 2024 14:43:04.730         5245.138982997724                   2597.879331217606                   -3712.55598706198                   
01 Jan 2024 14:44:38.729         5401.413605023002                   2996.676369630163                   -3143.125815794221                  
01 Jan 2024 14:46:12.742         5500.608795505436                   3363.852043189123                   -2540.291235468761                  
01 Jan 2024 14:47:46.762         5541.603859222349                   3695.457250671555                   -1910.45930382896                   
01 Jan 2024 14:49:20.764         5523.923847923266                   3987.876448628502                   -1260.46679192302                   
01 Jan 2024 14:50:54.744         5447.759826974729                   4237.99983140774                    -597.2509256416182                  
01 Jan 2024 14:52:28.703         5313.928826556177                   4443.193259119601                   72.15777607578968                   
01 Jan 2024 14:54:02.646         5123.852718692331                   4601.305138234173                   740.687607462455                    
01 Jan 2024 14:55:36.570         4879.567061788919                   4710.670741208385                   1401.219721853377                   
