Starlink_orbit2_31.UTCGregorian   Starlink_orbit2_31.EarthMJ2000Eq.X   Starlink_orbit2_31.EarthMJ2000Eq.Y   Starlink_orbit2_31.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000          -2049.987276596812                   -1183.560705978476                   -6503.612628459271                   
01 Jan 2024 12:00:28.000          -1818.066456006065                   -1575.06519627424                    -6489.569936829796                   
01 Jan 2024 12:01:57.255          -1458.886701680213                   -2144.411311396892                   -6416.876598168503                   
01 Jan 2024 12:03:30.632          -1068.299469652159                   -2718.1006019549                     -6275.232895998703                   
01 Jan 2024 12:05:04.463          -664.6016764134497                   -3266.016240442162                   -6066.812148833534                   
01 Jan 2024 12:06:38.337          -253.7126305162747                   -3779.769604170993                   -5794.188369120115                   
01 Jan 2024 12:08:12.213          159.8595880245826                    -4253.684364271002                   -5460.306375480926                   
01 Jan 2024 12:09:46.094          571.7675811054064                    -4682.765321506132                   -5068.667353250017                   
01 Jan 2024 12:11:19.980          977.6700334213263                    -5062.473839290963                   -4623.388137223715                   
01 Jan 2024 12:12:53.869          1373.269210707489                    -5388.775022479843                   -4129.176469317725                   
01 Jan 2024 12:14:27.759          1754.378562663341                    -5658.20601745165                    -3591.263511230698                   
01 Jan 2024 12:16:01.655          2116.995211797036                    -5867.926584937717                   -3015.300293250289                   
01 Jan 2024 12:17:35.562          2457.298556989036                    -6015.71209382407                    -2407.351083828732                   
01 Jan 2024 12:19:09.483          2771.70238730598                     -6099.986687794639                   -1773.814445580257                   
01 Jan 2024 12:20:43.421          3056.884250110366                    -6119.838658723857                   -1121.374027056059                   
01 Jan 2024 12:22:17.380          3309.831980547721                    -6075.034526866918                   -456.9066609871127                   
01 Jan 2024 12:23:51.365          3527.871770352616                    -5966.018240790338                   212.5859975997581                    
01 Jan 2024 12:25:25.373          3708.681176208664                    -5793.921611370552                   879.9945081025825                    
01 Jan 2024 12:26:59.394          3850.325812947091                    -5560.581990368564                   1538.165200144351                    
01 Jan 2024 12:28:33.401          3951.297092745281                    -5268.565178828574                   2179.959068210651                    
01 Jan 2024 12:30:07.382          4010.570234465852                    -4921.069853674088                   2798.521744523585                    
01 Jan 2024 12:31:41.333          4027.587990156341                    -4521.859992177067                   3387.337903373152                    
01 Jan 2024 12:33:15.253          4002.246002276283                    -4075.229907353915                   3940.24473068889                     
01 Jan 2024 12:34:49.140          3934.889821726493                    -3585.971574296227                   4451.470029267931                    
01 Jan 2024 12:36:22.992          3826.307461852253                    -3059.303461121415                   4915.712520645893                    
01 Jan 2024 12:37:56.808          3677.71432486187                     -2500.808896527032                   5328.190829152607                    
01 Jan 2024 12:39:30.591          3490.736105965688                    -1916.378626423653                   5684.681856981488                    
01 Jan 2024 12:41:04.346          3267.378266323498                    -1312.123064927245                   5981.568697204177                    
01 Jan 2024 12:42:38.076          3010.012703085879                    -694.3457850888642                   6215.845438743599                    
01 Jan 2024 12:44:11.789          2721.338451665172                    -69.44744343550009                   6385.155509586263                    
01 Jan 2024 12:45:45.491          2404.365868260782                    556.1037174174451                    6487.794575037641                    
01 Jan 2024 12:47:19.185          2062.400501113833                    1175.81293058965                     6522.728544978875                    
