Starlink_orbit2_7.UTCGregorian   Starlink_orbit2_7.EarthMJ2000Eq.X   Starlink_orbit2_7.EarthMJ2000Eq.Y   Starlink_orbit2_7.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000         -3968.603216824708                  -3830.709778162404                  4180.441615774528                   
01 Jan 2024 12:00:28.000         -4003.021268394035                  -4135.329419413357                  3843.843805219549                   
01 Jan 2024 12:01:57.255         -4022.170174787527                  -4555.016968294814                  3312.748273621471                   
01 Jan 2024 12:03:30.632         -4001.009569984588                  -4947.374580572841                  2723.189720341604                   
01 Jan 2024 12:05:04.463         -3937.51989740219                   -5289.415701442068                  2101.960897481035                   
01 Jan 2024 12:06:38.337         -3832.296373231287                  -5575.592616596712                  1458.120633327698                   
01 Jan 2024 12:08:12.213         -3686.456614011526                  -5802.685585868643                  798.7734150498896                   
01 Jan 2024 12:09:46.094         -3501.528405953316                  -5968.27436185531                   130.9020649984509                   
01 Jan 2024 12:11:19.980         -3279.459404855637                  -6070.587139900648                  -538.4019638542912                  
01 Jan 2024 12:12:53.869         -3022.606296981055                  -6108.526798096848                  -1202.000849488431                  
01 Jan 2024 12:14:27.759         -2733.700631440296                  -6081.693828588223                  -1852.823661731586                  
01 Jan 2024 12:16:01.655         -2415.791243309292                  -5990.378231181438                  -2483.992672508204                  
01 Jan 2024 12:17:35.562         -2072.237825271374                  -5835.548514464771                  -3088.823922970963                  
01 Jan 2024 12:19:09.483         -1706.666360985178                  -5618.839971891446                  -3660.917572058282                  
01 Jan 2024 12:20:43.421         -1322.94064301862                   -5342.542187752526                  -4194.208890211171                  
01 Jan 2024 12:22:17.380         -925.1089428285658                  -5009.566758128783                  -4683.051170049602                  
01 Jan 2024 12:23:51.365         -517.3635880833752                  -4623.414358676605                  -5122.266989408735                  
01 Jan 2024 12:25:25.373         -104.0326895726511                  -4188.174508327303                  -5507.167920439851                  
01 Jan 2024 12:26:59.394         310.4543651646642                   -3708.511163529405                  -5833.617182421913                  
01 Jan 2024 12:28:33.401         721.5977416933363                   -3189.655459188134                  -6098.093367069854                  
01 Jan 2024 12:30:07.382         1124.995473275306                   -2637.210825028731                  -6297.823116590265                  
01 Jan 2024 12:31:41.333         1516.381312997582                   -2057.077411116642                  -6430.767356871165                  
01 Jan 2024 12:33:15.253         1891.635122994891                   -1455.421009853204                  -6495.603364221424                  
01 Jan 2024 12:34:49.140         2246.808049776924                   -838.6327559041006                  -6491.729298608674                  
01 Jan 2024 12:36:22.992         2578.177423961012                   -213.239073174957                   -6419.270933583895                  
01 Jan 2024 12:37:56.808         2882.282798454813                   414.1674370963559                   -6279.072255733803                  
01 Jan 2024 12:39:30.591         3155.955972311601                   1036.989922597032                   -6072.681587277575                  
01 Jan 2024 12:41:04.346         3396.360570319344                   1648.718540137792                   -5802.319996486669                  
01 Jan 2024 12:42:38.076         3601.000088864423                   2242.954989200678                   -5470.866501675995                  
01 Jan 2024 12:44:11.789         3767.753627883824                   2813.508269412869                   -5081.81103158278                   
01 Jan 2024 12:45:45.491         3894.883704601533                   3354.422773748705                   -4639.23409316077                   
01 Jan 2024 12:47:19.185         3981.054253748223                   3860.023117186255                   -4147.787603681882                  
01 Jan 2024 12:48:52.871         4025.354529629226                   4324.987953347447                   -3612.649797341713                  
01 Jan 2024 12:50:26.554         4027.313428309231                   4744.448852752742                   -3039.422762579211                  
01 Jan 2024 12:52:00.244         3986.893703253901                   5114.013205645585                   -2434.086770837671                  
01 Jan 2024 12:53:33.946         3904.492544155357                   5429.787312246191                   -1802.969479733429                  
01 Jan 2024 12:55:07.662         3780.951032894944                   5688.409884104495                   -1152.721897370368                  
01 Jan 2024 12:56:41.396         3617.535714472449                   5887.134319666179                   -490.1607830246523                  
01 Jan 2024 12:58:15.154         3415.929968088592                   6023.830568607134                   177.7548510655261                   
01 Jan 2024 12:59:48.943         3178.217527395798                   6097.011406332099                   843.999548698776                    
01 Jan 2024 13:01:22.765         2906.863615745426                   6105.849748038289                   1501.550544397384                   
01 Jan 2024 13:02:56.624         2604.695435064579                   6050.191772915082                   2143.452659395396                   
01 Jan 2024 13:04:30.518         2274.883720820014                   5930.569344100017                   2762.879690531515                   
01 Jan 2024 13:06:04.450         1920.888601387971                   5748.193171195424                   3353.254133272015                   
01 Jan 2024 13:07:38.416         1546.44421717505                    5504.948954368785                   3908.278819927365                   
01 Jan 2024 13:09:12.413         1155.514435486168                   5203.381645968288                   4422.020897812867                   
01 Jan 2024 13:10:46.426         752.2908234706368                   4846.7098751665                     4888.9369007359                     
