Starlink_69.UTCGregorian   Starlink_69.EarthMJ2000Eq.X   Starlink_69.EarthMJ2000Eq.Y   Starlink_69.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000   3563.023714050895             2868.327199336182             5194.015988679584             
01 Jan 2024 12:00:28.000   3185.581448995721             3096.38432029461              5307.063080497695             
01 Jan 2024 12:01:57.255   2599.175606573449             3410.636242685576             5432.619863742904             
01 Jan 2024 12:03:30.632   1959.232306748008             3704.520076811068             5508.318555256784             
01 Jan 2024 12:05:04.463   1295.58582475199              3960.861110444953             5526.285963773435             
01 Jan 2024 12:06:38.337   617.9635117971241             4175.535410726384             5485.800077705213             
01 Jan 2024 12:08:12.213   -66.19211172879156            4346.154685028549             5387.268820231139             
01 Jan 2024 12:09:46.094   -749.6836954464239            4470.91947007114              5231.726083494963             
01 Jan 2024 12:11:19.980   -1425.304761186104            4548.504267108801             5020.803973922721             
01 Jan 2024 12:12:53.869   -2085.90025144588             4578.076419377451             4756.728710184721             
01 Jan 2024 12:14:27.759   -2724.477255095888            4559.313603495018             4442.291889957171             
01 Jan 2024 12:16:01.655   -3334.324834288154            4492.399150747008             4080.789876412304             
01 Jan 2024 12:17:35.562   -3909.010372365985            4378.015787583237             3676.017454348838             
01 Jan 2024 12:19:09.483   -4442.465706155155            4217.339627031133             3232.220862951076             
01 Jan 2024 12:20:43.421   -4929.035628435111            4012.033882220171             2754.067604945112             
01 Jan 2024 12:22:17.380   -5363.556323069693            3764.227959935999             2246.584332129608             
01 Jan 2024 12:23:51.365   -5741.403573545973            3476.495801963332             1715.107549489711             
01 Jan 2024 12:25:25.373   -6058.515372160895            3151.858161019876             1165.275849515998             
01 Jan 2024 12:26:59.394   -6311.455377456869            2793.77376121204              602.9896119501155             
01 Jan 2024 12:28:33.401   -6497.47859005535             2406.13504290084              34.37537193717442             
01 Jan 2024 12:30:07.382   -6614.637647957032            1993.122795150754             -534.4444704320806            
01 Jan 2024 12:31:41.333   -6661.761042179471            1559.148795222932             -1097.413652520003            
01 Jan 2024 12:33:15.253   -6638.432687298349            1108.83103715969              -1648.563990556095            
01 Jan 2024 12:34:49.140   -6544.991220110102            646.9616112081544             -2182.055494704766            
01 Jan 2024 12:36:22.992   -6382.523054872144            178.437047174741              -2692.260452657411            
01 Jan 2024 12:37:56.808   -6152.841415957685            -291.7957454685609            -3173.821627947085            
01 Jan 2024 12:39:30.591   -5858.461045041696            -758.7879490380628            -3621.701487311649            
01 Jan 2024 12:41:04.346   -5502.55047157204             -1217.658879099951            -4031.24804390277             
01 Jan 2024 12:42:38.076   -5088.910222680173            -1663.615382042344            -4398.209360137944            
01 Jan 2024 12:44:11.789   -4621.908853984113            -2092.023916856093            -4718.794437974684            
01 Jan 2024 12:45:45.491   -4106.455566322701            -2498.431098613806            -4989.686525970785            
01 Jan 2024 12:47:19.185   -3547.972231580669            -2878.596000405997            -5208.070801079989            
01 Jan 2024 12:48:52.871   -2952.336594968057            -3228.54356831897             -5371.675153799043            
01 Jan 2024 12:50:26.554   -2325.766416436935            -3544.636507143527            -5478.806898322522            
01 Jan 2024 12:52:00.244   -1674.771960298084            -3823.589849951256            -5528.349243182586            
01 Jan 2024 12:53:33.946   -1006.124333536505            -4062.485600578362            -5519.76508892223             
01 Jan 2024 12:55:07.662   -326.8300536205685            -4258.795373183496            -5453.113636184492            
01 Jan 2024 12:56:41.396   356.0324587388233             -4410.44060934552             -5329.050507569381            
01 Jan 2024 12:58:15.154   1035.331933187334             -4515.792818381255            -5148.819242750279            
01 Jan 2024 12:59:48.943   1703.958418048335             -4573.693183172347            -4914.24164735859             
01 Jan 2024 13:01:22.765   2354.889930017186             -4583.466397725397            -4627.704359997982            
01 Jan 2024 13:02:56.624   2981.255069726612             -4544.932300964674            -4292.144490330675            
01 Jan 2024 13:04:30.518   3576.393156557735             -4458.417820392896            -3911.036753295197            
01 Jan 2024 13:06:04.450   4133.970614964665             -4324.755461477298            -3488.337966803798            
01 Jan 2024 13:07:38.416   4648.01221019165              -4145.284010355505            -3028.47336628994             
01 Jan 2024 13:09:12.413   5112.983764533054             -3921.840707572643            -2536.2886243966              
01 Jan 2024 13:10:46.426   5523.822236212352             -3656.775542899884            -2017.05360005051             
01 Jan 2024 13:12:20.445   5876.078098622233             -3352.900384400371            -1476.333216697265            
01 Jan 2024 13:13:54.447   6165.923447721986             -3013.500068562535            -919.9972456094928            
01 Jan 2024 13:15:28.425   6390.278095312737             -2642.219839304048            -354.02169335329              
01 Jan 2024 13:17:02.380   6546.803520496005             -2243.004306379041            215.5848581081263             
01 Jan 2024 13:18:36.321   6633.882912095152             -1820.070188894343            782.8063838632901             
01 Jan 2024 13:20:10.243   6650.624120409014             -1377.925439098087            1341.597268595433             
01 Jan 2024 13:21:44.147   6596.892446343221             -921.2637940288314            1886.029164382677             
01 Jan 2024 13:23:18.041   6473.293004718017             -454.8972708763338            2410.367344406089             
01 Jan 2024 13:24:51.928   6281.161404531053             16.25216631316033             2909.07712506443              
01 Jan 2024 13:26:25.816   6022.540899364395             487.230702595076              3376.910996263756             
01 Jan 2024 13:27:59.702   5700.194761808199             953.0445802903697             3808.904551778599             
01 Jan 2024 13:29:33.580   5317.582860007789             1408.740578056677             4200.466312904916             
01 Jan 2024 13:31:07.456   4878.763957794459             1849.527482895134             4547.484369801942             
01 Jan 2024 13:32:41.337   4388.350621089437             2270.794319184381             4846.328547596137             
01 Jan 2024 13:34:15.232   3851.485141645636             2668.125607498853             5093.858538350209             
01 Jan 2024 13:35:49.125   3273.941771398216             3037.256227002837             5287.41503300477              
01 Jan 2024 13:37:23.016   2661.825875069787             3374.303094896928             5424.969855891257             
01 Jan 2024 13:38:56.912   2021.570844591474             3675.733639577665             5505.08534311525              
01 Jan 2024 13:40:30.802   1360.010793852167             3938.340572551995             5526.916560294474             
01 Jan 2024 13:42:04.682   684.1720803352094             4159.353354696676             5490.25405395695              
01 Jan 2024 13:43:38.556   1.151873319636316             4336.46621909589              5395.502695107145             
01 Jan 2024 13:45:12.435   -681.9160556271806            4467.830192622447             5243.655886524068             
01 Jan 2024 13:46:46.319   -1357.826113911794            4552.050071545358             5036.308007323964             
01 Jan 2024 13:48:20.205   -2019.415841401703            4588.223904849708             4775.65043770352              
01 Jan 2024 13:49:54.097   -2659.726315118698            4575.959144381105             4464.417433903749             
01 Jan 2024 13:51:27.995   -3271.992804027279            4515.367493393823             4105.88385871013              
01 Jan 2024 13:53:01.904   -3849.75958878844             4407.064285071549             3703.811148111524             
01 Jan 2024 13:54:35.825   -4386.905307348095            4252.167691662644             3262.434392073741             
01 Jan 2024 13:56:09.763   -4877.758637013932            4052.275721164165             2786.379945364273             
01 Jan 2024 13:57:43.720   -5317.103194441442            3809.464252398975             2280.660449986696             
01 Jan 2024 13:59:17.703   -5700.264154082855            3526.25756856355              1750.597783866042             
01 Jan 2024 14:00:51.711   -6023.142309697124            3205.612052151791             1201.786692275128             
01 Jan 2024 14:02:25.732   -6282.224353193233            2850.954360580361             640.1372673139268             
01 Jan 2024 14:03:59.737   -6474.697722798942            2466.144967556401             71.77603314309658             
01 Jan 2024 14:05:33.715   -6598.55046951372             2055.330249450199             -497.1848835495584            
01 Jan 2024 14:07:07.663   -6652.540684930479            1622.898724884971             -1060.688469095514            
01 Jan 2024 14:08:41.580   -6636.18019811123             1173.454306040837             -1612.758942736363            
01 Jan 2024 14:10:15.463   -6549.733583335934            711.7749617614768             -2147.553127374189            
01 Jan 2024 14:11:49.311   -6394.211572545211            242.7542693218538             -2659.430525971349            
01 Jan 2024 14:13:23.124   -6171.357155748635            -228.6465380786296            -3143.006926175274            
01 Jan 2024 14:14:56.903   -5883.61180540949             -697.4708712555926            -3593.229082548131            
01 Jan 2024 14:16:30.654   -5534.076400244729            -1158.816217063608            -4005.418435893735            
01 Jan 2024 14:18:04.380   -5126.477369704716            -1607.871645674014            -4375.302379271816            
01 Jan 2024 14:19:38.090   -4665.127628449392            -2039.962117802902            -4699.051545239561            
01 Jan 2024 14:21:11.791   -4154.861977293051            -2450.60834152004             -4973.324561939895            
01 Jan 2024 14:22:45.486   -3601.048719437493            -2835.520552907343            -5195.26590602504             
01 Jan 2024 14:24:19.174   -3009.512192391246            -3190.673677163843            -5362.563680832471            
01 Jan 2024 14:25:52.861   -2386.43092594363             -3512.371346926369            -5473.482133280567            
01 Jan 2024 14:27:26.553   -1738.296491242688            -3797.261397432702            -5526.861906704521            
01 Jan 2024 14:29:00.256   -1071.854055345021            -4042.364709705338            -5522.128375580186            
01 Jan 2024 14:30:33.972   -394.0775596834699            -4245.092816237797            -5459.302054195881            
01 Jan 2024 14:32:07.705   287.9641413672077             -4403.299521093647            -5339.000605463111            
01 Jan 2024 14:33:41.463   967.1563097271967             -4515.290704648058            -5162.428184514935            
01 Jan 2024 14:35:15.250   1636.392002391035             -4579.838640961351            -4931.368208317776            
01 Jan 2024 14:36:49.071   2288.644594850826             -4596.198561494244            -4648.170120332838            
01 Jan 2024 14:38:22.930   2917.031271957723             -4564.120904429514            -4315.734951034447            
01 Jan 2024 14:39:56.827   3514.887840626595             -4483.860888154321            -3937.492243946795            
01 Jan 2024 14:41:30.760   4075.835278469613             -4356.184369360235            -3517.376169391025            
01 Jan 2024 14:43:04.730   4593.863906226998             -4182.365335616802            -3059.782986968859            
01 Jan 2024 14:44:38.729   5063.389888240209             -3964.18349597511             -2569.541483883311            
01 Jan 2024 14:46:12.742   5479.299466756276             -3703.935767622308            -2051.906396368624            
01 Jan 2024 14:47:46.762   5837.105771954807             -3404.371218257268            -1512.404095181687            
01 Jan 2024 14:49:20.764   6132.906621897567             -3068.738965040457            -956.911527329787             
01 Jan 2024 14:50:54.744   6363.568747135321             -2700.630533036494            -391.3738643183219            
