Starlink_orbit3_6.UTCGregorian   Starlink_orbit3_6.EarthMJ2000Eq.X   Starlink_orbit3_6.EarthMJ2000Eq.Y   Starlink_orbit3_6.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000         2407.778832266233                   -2605.709456103407                  -5942.484356333124                  
01 Jan 2024 12:00:28.000         2573.897415193705                   -2956.199375304736                  -5704.078642526442                  
01 Jan 2024 12:01:57.255         2800.269991408471                   -3453.551215282665                  -5304.123777702534                  
01 Jan 2024 12:03:30.632         3008.456322177034                   -3938.515285653787                  -4831.427259187508                  
01 Jan 2024 12:05:04.463         3185.975098751839                   -4384.357560146615                  -4305.437401059983                  
01 Jan 2024 12:06:38.337         3329.909459480996                   -4784.07543930133                   -3733.583261139665                  
01 Jan 2024 12:08:12.213         3438.632695335582                   -5133.208382170991                  -3122.128211927965                  
01 Jan 2024 12:09:46.094         3510.98037928803                    -5428.048526082256                  -2477.520096073983                  
01 Jan 2024 12:11:19.980         3546.17085617778                    -5665.453729518211                  -1806.577979310455                  
01 Jan 2024 12:12:53.869         3543.818984664455                   -5842.885693646567                  -1116.437264324694                  
01 Jan 2024 12:14:27.759         3503.946133054998                   -5958.456276729123                  -414.4389428461111                  
01 Jan 2024 12:16:01.655         3426.971487664251                   -6010.948410732429                  292.0076636173435                   
01 Jan 2024 12:17:35.562         3313.706237354153                   -5999.807293002812                  995.4301991096218                   
01 Jan 2024 12:19:09.483         3165.343831583798                   -5925.150061497528                  1688.394699021363                   
01 Jan 2024 12:20:43.421         2983.451004911748                   -5787.765979204238                  2363.565870255366                   
01 Jan 2024 12:22:17.380         2769.94572148065                    -5589.1049960866                    3013.809276049436                   
01 Jan 2024 12:23:51.365         2527.075605988234                   -5331.258398481106                  3632.26019361549                    
01 Jan 2024 12:25:25.373         2257.416447269507                   -5016.961977261175                  4212.345924431398                   
01 Jan 2024 12:26:59.394         1963.860566771176                   -4649.595012285347                  4747.858912090391                   
01 Jan 2024 12:28:33.401         1649.609197320323                   -4233.185610029524                  5233.027608300694                   
01 Jan 2024 12:30:07.382         1318.052185227419                   -3772.259502105156                  5662.733743870755                   
01 Jan 2024 12:31:41.333         972.7232248929323                   -3271.766208141855                  6032.526436599418                   
01 Jan 2024 12:33:15.253         617.2815584581318                   -2737.045077540183                  6338.613696370431                   
01 Jan 2024 12:34:49.140         255.4877250360807                   -2173.788109800869                  6577.880832173702                   
01 Jan 2024 12:36:22.992         -108.8496056294104                  -1587.95839921541                   6747.930391773662                   
01 Jan 2024 12:37:56.808         -471.9135256402989                  -985.7248428497549                  6847.096524428838                   
01 Jan 2024 12:39:30.591         -829.9140129280482                  -373.4031186532709                  6874.451764220175                   
01 Jan 2024 12:41:04.346         -1179.139274926138                  242.6332216096497                   6829.806858005806                   
01 Jan 2024 12:42:38.076         -1515.968255755193                  855.9765856170673                   6713.702444847671                   
01 Jan 2024 12:44:11.789         -1836.923567482178                  1460.280544336822                   6527.395298488685                   
01 Jan 2024 12:45:45.491         -2138.685561563056                  2049.287190979674                   6272.846820349112                   
01 Jan 2024 12:47:19.185         -2418.116224792043                  2616.86923228909                    5952.720134321489                   
01 Jan 2024 12:48:52.871         -2672.299241546814                  3157.104019928024                   5570.3620312432                     
01 Jan 2024 12:50:26.554         -2898.592973762952                  3664.383036299133                   5129.73496704344                    
01 Jan 2024 12:52:00.244         -3094.641166798808                  4133.440130389004                   4635.379863831507                   
01 Jan 2024 12:53:33.946         -3258.384620986649                  4559.377099787876                   4092.395337495625                   
01 Jan 2024 12:55:07.662         -3388.079583844485                  4937.697795881872                   3506.428699751173                   
01 Jan 2024 12:56:41.396         -3482.340682404823                  5264.416661108521                   2883.545194221584                   
01 Jan 2024 12:58:15.154         -3540.141724463004                  5536.065429784079                   2230.207379505968                   
01 Jan 2024 12:59:48.943         -3560.829453971459                  5749.734287414669                   1553.208630068468                   
01 Jan 2024 13:01:22.765         -3544.132635758691                  5903.104127600941                   859.6097454212558                   
01 Jan 2024 13:02:56.624         -3490.169085472724                  5994.474664052638                   156.6777914126242                   
01 Jan 2024 13:04:30.518         -3399.452547632544                  6022.791565652667                   -548.1723518082686                  
01 Jan 2024 13:06:04.450         -3272.886361243804                  5987.669241953971                   -1247.506854353158                  
01 Jan 2024 13:07:38.416         -3111.761678652389                  5889.396873704944                   -1933.908055743335                  
01 Jan 2024 13:09:12.413         -2917.746738544692                  5728.945015546546                   -2600.070627286848                  
01 Jan 2024 13:10:46.426         -2692.895473091855                  5507.986194703308                   -3238.823752237282                  
01 Jan 2024 13:12:20.445         -2439.600465931955                  5228.863467789021                   -3843.321450365665                  
01 Jan 2024 13:13:54.447         -2160.60015337801                   4894.60245202538                    -4407.041365865644                  
01 Jan 2024 13:15:28.425         -1858.884323511979                  4508.804739454535                   -4924.001316843273                  
01 Jan 2024 13:17:02.380         -1537.645820790814                  4075.573650726341                   -5388.79477111882                   
01 Jan 2024 13:18:36.321         -1200.260046836122                  3599.477446354548                   -5796.585943148262                  
01 Jan 2024 13:20:10.243         -850.3008386791112                  3085.572836392595                   -6143.095052763105                  
01 Jan 2024 13:21:44.147         -491.457370936669                   2539.290222720957                   -6424.708537050438                  
01 Jan 2024 13:23:18.041         -127.4833410721888                  1966.35331718875                    -6638.50761004438                   
01 Jan 2024 13:24:51.928         237.807131190139                    1372.770572671393                   -6782.262797194941                  
01 Jan 2024 13:26:25.816         600.5981490990096                   764.7424585963665                   -6854.466980739014                  
01 Jan 2024 13:27:59.702         957.0639710302805                   148.6775018299183                   -6854.343534555601                  
01 Jan 2024 13:29:33.580         1303.429925096235                   -468.9033595960913                  -6781.88312397275                   
01 Jan 2024 13:31:07.456         1636.063558299427                   -1081.527306399647                  -6637.832291165804                  
01 Jan 2024 13:32:41.337         1951.486739276981                   -1682.798637897905                  -6423.662639900764                  
01 Jan 2024 13:34:15.232         2246.386832081306                   -2266.420674779623                  -6141.560910688197                  
01 Jan 2024 13:35:49.125         2517.585297586453                   -2826.120149664148                  -5794.510276011604                  
01 Jan 2024 13:37:23.016         2762.211383833123                   -3355.985820534464                  -5386.143576291921                  
01 Jan 2024 13:38:56.912         2977.67895954212                    -3850.434403054659                  -4920.720350561835                  
01 Jan 2024 13:40:30.802         3161.671379713746                   -4304.167937776737                  -4403.189369727075                  
01 Jan 2024 13:42:04.682         3312.224595715657                   -4712.354001039685                  -3839.048821223723                  
01 Jan 2024 13:43:38.556         3427.747366319004                   -5070.689318934796                  -3234.236590486729                  
01 Jan 2024 13:45:12.435         3507.015876340731                   -5375.40188161896                   -2595.086366914645                  
01 Jan 2024 13:46:46.319         3549.17439034481                    -5623.243159970689                  -1928.361172529648                  
01 Jan 2024 13:48:20.205         3553.763592091701                   -5811.562636668401                  -1241.155491167157                  
01 Jan 2024 13:49:54.097         3520.728118043035                   -5938.364072829094                  -540.7300355027132                  
01 Jan 2024 13:51:27.995         3450.412667655802                   -6002.298236727662                  165.486601199274                    
01 Jan 2024 13:53:01.904         3343.556476607511                   -6002.687120044922                  870.0269991839018                   
01 Jan 2024 13:54:35.825         3201.290270043868                   -5939.527029110477                  1565.41715502897                    
01 Jan 2024 13:56:09.763         3025.111809409082                   -5813.484469905006                  2244.322088775277                   
01 Jan 2024 13:57:43.720         2816.881793018948                   -5625.891404569734                  2899.555116547645                   
01 Jan 2024 13:59:17.703         2578.794849675229                   -5378.725705914102                  3524.194576490901                   
01 Jan 2024 14:00:51.711         2313.362940300455                   -5074.595211682878                  4111.632612328674                   
01 Jan 2024 14:02:25.732         2023.442973777597                   -4716.78036368696                   4655.556306062931                   
01 Jan 2024 14:03:59.737         1712.201990193061                   -4309.212915222776                  5150.095984103094                   
01 Jan 2024 14:05:33.715         1382.995465096128                   -3856.321930309343                  5590.039351987457                   
01 Jan 2024 14:07:07.663         1039.333531652041                   -3362.974125353572                  5970.826638540168                   
01 Jan 2024 14:08:41.580         684.8608451484564                   -2834.438433377449                  6288.548279852042                   
01 Jan 2024 14:10:15.463         323.3250185687951                   -2276.338085645302                  6539.970214247794                   
01 Jan 2024 14:11:49.311         -41.46769734488498                  -1694.582606778844                  6722.566515221397                   
01 Jan 2024 14:13:23.124         -405.6877783619846                  -1095.311398691257                  6834.537236055148                   
01 Jan 2024 14:14:56.903         -765.5360972513009                  -484.8051941003006                  6874.824174560142                   
01 Jan 2024 14:16:30.654         -1117.279348496005                  130.5766246879201                   6843.105123854074                   
01 Jan 2024 14:18:04.380         -1457.276443576812                  744.4436491505605                   6739.786064818248                   
01 Jan 2024 14:19:38.090         -1782.010441111133                  1350.43145802344                    6565.993923269502                   
01 Jan 2024 14:21:11.791         -2088.132317118724                  1942.282973589475                   6323.55435059324                    
01 Jan 2024 14:22:45.486         -2372.455808448084                  2513.836638938863                   6015.002787858179                   
01 Jan 2024 14:24:19.174         -2632.013892470923                  3059.130066621209                   5643.56075275692                    
01 Jan 2024 14:25:52.861         -2864.106162846681                  3572.497019541356                   5213.077545620156                   
01 Jan 2024 14:27:26.553         -3066.310500068198                  4048.595228053682                   4728.000683030043                   
01 Jan 2024 14:29:00.256         -3236.504970288944                  4482.454552166666                   4193.336009819366                   
01 Jan 2024 14:30:33.972         -3372.882260616402                  4869.504883947322                   3614.635922841173                   
01 Jan 2024 14:32:07.705         -3473.987205880993                  5205.668258052278                   2997.894637841717                   
01 Jan 2024 14:33:41.463         -3538.724167715501                  5487.383431549104                   2349.502592468133                   
01 Jan 2024 14:35:15.250         -3566.367558464035                  5711.636550568828                   1676.198325559231                   
01 Jan 2024 14:36:49.071         -3556.573112044415                  5875.998190398046                   985.0009655049824                   
01 Jan 2024 14:38:22.930         -3509.385611751769                  5978.652720950376                   283.1486801231014                   
01 Jan 2024 14:39:56.827         -3425.243619780857                  6018.426301243861                   -421.9773602250761                  
01 Jan 2024 14:41:30.760         -3304.98108013771                   5994.807865938056                   -1122.922852082749                  
01 Jan 2024 14:43:04.730         -3149.821288003975                  5907.963485270468                   -1812.255156929346                  
01 Jan 2024 14:44:38.729         -2961.371593379363                  5758.743975365433                   -2482.627519634332                  
01 Jan 2024 14:46:12.742         -2741.629336284572                  5548.705433553246                   -3126.818710974901                  
01 Jan 2024 14:47:46.762         -2492.923517826801                  5280.065593599328                   -3737.950567252295                  
01 Jan 2024 14:49:20.764         -2217.952713373439                  4955.747323261715                   -4309.404895221594                  
01 Jan 2024 14:50:54.744         -1919.653408114426                  4579.233994731121                   -4835.138150371027                  
01 Jan 2024 14:52:28.703         -1601.184223925823                  4154.532343344261                   -5309.643809602517                  
01 Jan 2024 14:54:02.646         -1265.898058550603                  3686.129933660427                   -5727.973676267946                  
01 Jan 2024 14:55:36.570         -917.3482287468759                  3179.005184972077                   -6085.736053461636                  
01 Jan 2024 14:57:10.476         -559.2070391452983                  2638.514739650989                   -6379.201980638995                  
01 Jan 2024 14:58:44.370         -195.2299108302527                  2070.336479616661                   -6605.324060399106                  
01 Jan 2024 15:00:18.259         170.7803950702256                   1480.412023149524                   -6761.752645997912                  
01 Jan 2024 15:01:52.146         534.9908617585444                   874.9197478931202                   -6846.845528273795                  
01 Jan 2024 15:03:26.033         893.5740594751624                   260.2197369066611                   -6859.693837164672                  
