Starlink_orbit2_21.UTCGregorian   Starlink_orbit2_21.EarthMJ2000Eq.X   Starlink_orbit2_21.EarthMJ2000Eq.Y   Starlink_orbit2_21.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000          6545.394260204599                    1944.902325578522                    1129.340481183587                    
01 Jan 2024 12:00:28.000          6553.045528247588                    2111.729477447987                    705.8134035475555                    
01 Jan 2024 12:01:57.255          6511.917955070715                    2342.764461576677                    70.66449372440442                    
01 Jan 2024 12:03:30.632          6402.101480379104                    2560.403962340573                    -594.445691337603                    
01 Jan 2024 12:05:04.463          6224.108351395727                    2752.043917450771                    -1256.474827612529                   
01 Jan 2024 12:06:38.337          5980.065821402777                    2914.606131105559                    -1905.457530974154                   
01 Jan 2024 12:08:12.213          5672.630260635116                    3046.277812128629                    -2534.199217665684                   
01 Jan 2024 12:09:46.094          5305.056884131874                    3145.670651594934                    -3136.039766615519                   
01 Jan 2024 12:11:19.980          4881.242891330818                    3211.73557130194                     -3704.59322704315                    
01 Jan 2024 12:12:53.869          4405.701631261397                    3243.776323009512                    -4233.807543955832                   
01 Jan 2024 12:14:27.759          3883.495631453472                    3241.462444305203                    -4718.061226713729                   
01 Jan 2024 12:16:01.655          3320.133449599289                    3204.826394790274                    -5152.253084337964                   
01 Jan 2024 12:17:35.562          2721.561198764144                    3134.257270746424                    -5531.794212433009                   
01 Jan 2024 12:19:09.483          2094.085321270491                    3030.496202728644                    -5852.668843401859                   
01 Jan 2024 12:20:43.421          1444.325359614108                    2894.631078062866                    -6111.465266698007                   
01 Jan 2024 12:22:17.380          779.1252741397008                    2728.081839059366                    -6305.421278133987                   
01 Jan 2024 12:23:51.365          105.4884407167719                    2532.58521420509                     -6432.445900887707                   
01 Jan 2024 12:25:25.373          -569.4348903390523                   2310.196367716479                    -6491.135562350191                   
01 Jan 2024 12:26:59.394          -1238.405901887433                   2063.284026472399                    -6480.816348000805                   
01 Jan 2024 12:28:33.401          -1894.150826904779                   1794.529431341514                    -6401.591703083586                   
01 Jan 2024 12:30:07.382          -2529.632175826608                   1506.827493819794                    -6254.341536489574                   
01 Jan 2024 12:31:41.333          -3138.104594795865                   1203.247877272496                    -6040.673997786635                   
01 Jan 2024 12:33:15.253          -3713.129637211397                   887.0191030756284                    -5762.898168803506                   
01 Jan 2024 12:34:49.140          -4248.616701907504                   561.5077766067243                    -5424.008660326199                   
01 Jan 2024 12:36:22.992          -4738.909854479199                   230.1711208877596                    -5027.644224289456                   
01 Jan 2024 12:37:56.808          -5178.844530738287                   -103.4802337169494                   -4578.044564930598                   
01 Jan 2024 12:39:30.591          -5563.794808043599                   -435.9162056716                      -4080.006669385645                   
01 Jan 2024 12:41:04.346          -5889.732649152132                   -763.6374026283565                   -3538.810506118555                   
01 Jan 2024 12:42:38.076          -6153.241508033542                   -1083.190016483844                   -2960.192969598075                   
01 Jan 2024 12:44:11.789          -6351.566724699736                   -1391.219032023412                   -2350.257295879635                   
01 Jan 2024 12:45:45.491          -6482.626611385874                   -1684.48524457617                    -1715.439115653926                   
01 Jan 2024 12:47:19.185          -6545.038121856672                   -1959.89095970258                    -1062.463725186394                   
01 Jan 2024 12:48:52.871          -6538.146813222163                   -2214.521179366659                   -398.2673520485001                   
01 Jan 2024 12:50:26.554          -6462.033366170015                   -2445.698596857444                   270.1392122720081                    
01 Jan 2024 12:52:00.244          -6317.4966234248                     -2650.997014638315                   935.7215584749695                    
01 Jan 2024 12:53:33.946          -6106.04755615827                    -2828.25412134473                    1591.460709991605                    
01 Jan 2024 12:55:07.662          -5829.917061883192                   -2975.589187767979                   2230.391935850526                    
01 Jan 2024 12:56:41.396          -5492.003030890994                   -3091.448302408311                   2845.771518467168                    
01 Jan 2024 12:58:15.154          -5095.850810439859                   -3174.604575701616                   3431.095924565458                    
01 Jan 2024 12:59:48.943          -4645.614975340839                   -3224.17190623549                    3980.173480347396                    
01 Jan 2024 13:01:22.765          -4146.019016204404                   -3239.613839136435                   4487.185294370764                    
01 Jan 2024 13:02:56.624          -3602.315375550412                   -3220.750213566111                   4946.740123855107                    
01 Jan 2024 13:04:30.518          -3020.248367632939                   -3167.763570296025                   5353.925908899216                    
01 Jan 2024 13:06:04.450          -2405.956093700635                   -3081.196633431182                   5704.395244988889                    
01 Jan 2024 13:07:38.416          -1765.943587591231                   -2961.950267564732                   5994.385465287703                    
01 Jan 2024 13:09:12.413          -1107.00574295109                    -2811.276384219598                   6220.77258797311                     
01 Jan 2024 13:10:46.426          -436.2222508880457                   -2630.786136212434                   6381.097450760014                    
01 Jan 2024 13:12:20.445          239.21974601659                      -2422.414500084871                   6473.640094980398                    
01 Jan 2024 13:13:54.447          912.0147239645146                    -2188.427312149976                   6497.427880930282                    
01 Jan 2024 13:15:28.425          1574.981690584984                    -1931.343998189049                   6452.262820461245                    
01 Jan 2024 13:17:02.380          2221.134935081202                    -1653.895509557636                   6338.678943537496                    
01 Jan 2024 13:18:36.321          2843.699460447814                    -1359.006369596934                   6157.910267040849                    
01 Jan 2024 13:20:10.243          3436.084015135611                    -1049.809918576879                   5911.90496304522                     
01 Jan 2024 13:21:44.147          3992.041500122667                    -729.5770300458537                   5603.290829564756                    
01 Jan 2024 13:23:18.041          4505.741037367602                    -401.6708220053418                   5235.325362472045                    
01 Jan 2024 13:24:51.928          4971.770343219033                    -69.54272416407463                   4811.887607437862                    
01 Jan 2024 13:26:25.816          5385.22022341311                     263.3207864357977                    4337.419135991817                    
01 Jan 2024 13:27:59.702          5741.685244731942                    593.391186796646                     3816.942495407944                    
01 Jan 2024 13:29:33.580          6037.35350832723                     917.153945861383                     3255.999854724596                    
01 Jan 2024 13:31:07.456          6269.092583924928                    1231.194855375927                    2660.509701715345                    
01 Jan 2024 13:32:41.337          6434.442150991433                    1532.214076438873                    2036.723287587866                    
01 Jan 2024 13:34:15.232          6531.619502682449                    1817.038386839365                    1391.197723946015                    
01 Jan 2024 13:35:49.125          6559.545439808767                    2082.590015319747                    730.9002931033738                    
01 Jan 2024 13:37:23.016          6517.914329295347                    2326.054537960547                    62.83942129323575                    
01 Jan 2024 13:38:56.912          6407.153034370993                    2544.86084455531                     -605.9222615475528                   
01 Jan 2024 13:40:30.802          6228.446946678246                    2736.664485008115                    -1268.201026917073                   
01 Jan 2024 13:42:04.682          5983.721774305041                    2899.429824223576                    -1916.921775126779                   
01 Jan 2024 13:43:38.556          5675.583251953807                    3031.452178490857                    -2545.231826012314                   
01 Jan 2024 13:45:12.435          5307.277463431979                    3131.353117503942                    -3146.526105642411                   
01 Jan 2024 13:46:46.319          4882.711780134523                    3198.077857902415                    -3714.421257005062                   
01 Jan 2024 13:48:20.205          4406.412137774083                    3230.923597996426                    -4242.869029560312                   
01 Jan 2024 13:49:54.097          3883.413446332456                    3229.551465923208                    -4726.289548828682                   
01 Jan 2024 13:51:27.995          3319.256605324074                    3193.981216699606                    -5159.560682708529                   
01 Jan 2024 13:53:01.904          2719.893706226178                    3124.590287485868                    -5538.104143287545                   
01 Jan 2024 13:54:35.825          2091.664674185145                    3022.111681432089                    -5857.902019141307                   
01 Jan 2024 13:56:09.763          1441.174326611163                    2887.617453004522                    -6115.568751922186                   
01 Jan 2024 13:57:43.720          775.2858557860076                    2722.516009380318                    -6308.350428846828                   
01 Jan 2024 13:59:17.703          101.0147082318086                    2528.531527262627                    -6434.170512519531                   
01 Jan 2024 14:00:51.711          -574.5176908583874                   2307.692556442317                    -6491.64358704869                    
01 Jan 2024 14:02:25.732          -1244.039310588525                   2062.359080568103                    -6480.103963727651                   
01 Jan 2024 14:03:59.737          -1900.263027921651                   1795.199073383588                    -6399.671284146864                   
01 Jan 2024 14:05:33.715          -2536.15618570493                    1509.087403703239                    -6251.239895332337                   
01 Jan 2024 14:07:07.663          -3144.970889953259                   1207.076541964818                    -6036.43120869677                    
01 Jan 2024 14:08:41.580          -3720.26413629261                    892.3794821975589                    -5757.568161520873                   
01 Jan 2024 14:10:15.463          -4255.950269641825                   568.3425739197927                    -5417.65362306094                    
01 Jan 2024 14:11:49.311          -4746.37271692281                    238.4060608507853                    -5020.334878466732                   
01 Jan 2024 14:13:23.124          -5186.35757251449                    -93.92856162774171                   -4569.868816650411                   
01 Jan 2024 14:14:56.903          -5571.284588100053                   -425.1490385681216                   -4071.057083028405                   
01 Jan 2024 14:16:30.654          -5897.125113460986                   -751.7675812570674                   -3529.189940698763                   
01 Jan 2024 14:18:04.380          -6160.469364576339                   -1070.348394046621                   -2950.000090725642                   
01 Jan 2024 14:19:38.090          -6358.558851051837                   -1377.540680750227                   -2339.607089328183                   
01 Jan 2024 14:21:11.791          -6489.318754542958                   -1670.123353080663                   -1704.431430095021                   
01 Jan 2024 14:22:45.486          -6551.364060884147                   -1945.00311886259                    -1051.20478907898                    
01 Jan 2024 14:24:19.174          -6544.04034189715                    -2199.270665941151                   -386.8622006656778                   
01 Jan 2024 14:25:52.861          -6467.429081522332                   -2430.249212110138                   281.5789701150501                    
01 Jan 2024 14:27:26.553          -6322.33631131254                    -2635.50821216394                    947.0654436428042                    
01 Jan 2024 14:29:00.256          -6110.28246086959                    -2812.886119975082                   1602.576718206439                    
01 Jan 2024 14:30:33.972          -5833.5035395018                     -2960.504354127311                   2241.160490059667                    
01 Jan 2024 14:32:07.705          -5494.908115351969                   -3076.805240730639                   2856.071088992173                    
01 Jan 2024 14:33:41.463          -5098.046127465889                   -3160.559082871021                   3440.817063850804                    
01 Jan 2024 14:35:15.250          -4647.079062086865                   -3210.873632725348                   3989.213694777156                    
01 Jan 2024 14:36:49.071          -4146.737582901821                   -3227.204546858772                   4495.449665072725                    
01 Jan 2024 14:38:22.930          -3602.280796152555                   -3209.362135806176                   4954.142609670715                    
01 Jan 2024 14:39:56.827          -3019.44347527776                    -3157.515891424759                   5360.40005863338                     
01 Jan 2024 14:41:30.760          -2404.385970337055                   -3072.196130981826                   5709.870408496608                    
01 Jan 2024 14:43:04.730          -1763.620378760789                   -2954.289925922349                   5998.801089428182                    
01 Jan 2024 14:44:38.729          -1103.960470534409                   -2805.037144984988                   6224.074975940076                    
01 Jan 2024 14:46:12.742          -432.5010906292746                   -2626.036574078146                   6383.245530217037                    
01 Jan 2024 14:47:46.762          243.5905833756727                    -2419.199934821352                   6474.611480626083                    
01 Jan 2024 14:49:20.764          916.9761789989157                    -2186.784205189679                   6497.208963747372                    
01 Jan 2024 14:50:54.744          1580.494834628907                    -1931.282692000067                   6450.852908976837                    
01 Jan 2024 14:52:28.703          2227.149260414771                    -1655.410362196623                   6336.086151824163                    
01 Jan 2024 14:54:02.646          2850.146171781296                    -1362.080277472903                   6154.155895351776                    
01 Jan 2024 14:55:36.570          3442.888213515035                    -1054.41037979442                    5907.023751429902                    
01 Jan 2024 14:57:10.476          3999.128801592519                    -735.6533653224185                   5597.327633844994                    
01 Jan 2024 14:58:44.370          4513.021568101924                    -409.1649542138754                   5228.345302615124                    
01 Jan 2024 15:00:18.259          4979.168698904658                    -78.37170204082491                   4803.955654971109                    
01 Jan 2024 15:01:52.146          5392.647169981784                    253.2447233599688                    4328.622122381618                    
01 Jan 2024 15:03:26.033          5749.065089773905                    582.1803924233654                    3807.359586314121                    
01 Jan 2024 15:04:59.911          6044.597439517078                    904.920495361792                     3245.737733645165                    
01 Jan 2024 15:06:33.786          6276.119276844093                    1218.066602958139                    2649.6747082258                      
01 Jan 2024 15:08:07.666          6441.171251769734                    1518.325205698666                    2025.434479743264                    
01 Jan 2024 15:09:41.559          6537.975401173026                    1802.529647263274                    1379.58433156975                     
01 Jan 2024 15:11:15.452          6565.459710319094                    2067.621202469415                    719.0661575710549                    
01 Jan 2024 15:12:49.343          6523.320023473702                    2310.780522445902                    50.91318943409492                    
01 Jan 2024 15:14:23.238          6411.990041478636                    2529.439826591498                    -617.8097280181806                   
01 Jan 2024 15:15:57.130          6232.655195923616                    2721.263086025162                    -1279.942455823625                   
01 Jan 2024 15:17:31.011          5987.251602501238                    2884.206967737209                    -1928.388655284582                   
01 Jan 2024 15:19:04.887          5678.391316941956                    3016.565850995793                    -2556.301771387072                   
