Starlink_53.UTCGregorian   Starlink_53.EarthMJ2000Eq.X   Starlink_53.EarthMJ2000Eq.Y   Starlink_53.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000   -3443.463439011071            3010.813586646459             -5194.015988679587            
01 Jan 2024 12:00:28.000   -3602.513642007626            2599.50407900252              -5307.063111786917            
01 Jan 2024 12:01:57.255   -3810.162947216179            1967.439077409643             -5432.620228757629            
01 Jan 2024 12:03:30.632   -3988.457188091807            1286.187802754601             -5508.319914647879            
01 Jan 2024 12:05:04.463   -4125.663539253948            588.1132103777768             -5526.2891702063              
01 Jan 2024 12:06:38.337   -4219.410026580194            -116.4894749742253            -5485.806008850002            
01 Jan 2024 12:08:12.213   -4268.637069620702            -819.876496619071             -5387.278239917259            
01 Jan 2024 12:09:46.094   -4272.822296368308            -1514.64769772847             -5231.739545647059            
01 Jan 2024 12:11:19.980   -4231.911612792652            -2193.476110716463            -5020.821779165856            
01 Jan 2024 12:12:53.869   -4146.327316062556            -2849.170861461762            -4756.750915419002            
01 Jan 2024 12:14:27.759   -4016.966127826798            -3474.789274154713            -4442.318360767848            
01 Jan 2024 12:16:01.655   -3845.173805122454            -4063.754108290099            -4080.820364212652            
01 Jan 2024 12:17:35.562   -3632.739622146947            -4609.848925306779            -3676.051675544548            
01 Jan 2024 12:19:09.483   -3381.875494059964            -5107.301914248248            -3232.258559873545            
01 Jan 2024 12:20:43.421   -3095.201348519945            -5550.832595171688            -2754.108572758117            
01 Jan 2024 12:22:17.380   -2775.710894129643            -5935.725438964575            -2246.628404876086            
01 Jan 2024 12:23:51.365   -2426.741895703395            -6257.873564072173            -1715.154548051023            
01 Jan 2024 12:25:25.373   -2051.974471622287            -6513.80135708397             -1165.325503594392            
01 Jan 2024 12:26:59.394   -1655.411363865966            -6700.725378076175            -603.0414755218405            
01 Jan 2024 12:28:33.401   -1241.362353261433            -6816.618245701076            -34.42875434042658            
01 Jan 2024 12:30:07.382   -814.2826691218391            -6860.288036280987            534.3905372930379             
01 Jan 2024 12:31:41.333   -378.7203194526036            -6831.346853345545            1097.360399070396             
01 Jan 2024 12:33:15.253   60.70471601116583             -6730.186419435858            1648.512843638691             
01 Jan 2024 12:34:49.140   499.3319600453067             -6557.971850195636            2182.007968522466             
01 Jan 2024 12:36:22.992   932.5278066137512             -6316.622786663552            2692.218014415072             
01 Jan 2024 12:37:56.808   1355.735114393034             -6008.783438543467            3173.785562469341             
01 Jan 2024 12:39:30.591   1764.5165684064               -5637.789336034033            3621.672786458233             
01 Jan 2024 12:41:04.346   2154.615409844696             -5207.608223533521            4031.227343498515             
01 Jan 2024 12:42:38.076   2521.970812156346             -4722.815263018486            4398.196937768776             
01 Jan 2024 12:44:11.789   2862.777825083682             -4188.517514746981            4718.790275373494             
01 Jan 2024 12:45:45.491   3173.502913985144             -3610.32335991862             4989.690425716734             
01 Jan 2024 12:47:19.185   3450.91096386988              -2994.309268630815            5208.082537500404             
01 Jan 2024 12:48:52.871   3692.1080490132               -2346.954496312629            5371.694630700356             
01 Jan 2024 12:50:26.554   3894.592109114667             -1675.014405099135            5478.834283696705             
01 Jan 2024 12:52:00.244   4056.259020460342             -985.4710609466156            5528.385052618155             
01 Jan 2024 12:53:33.946   4175.411466628511             -285.4994533128092            5519.810198459994             
01 Jan 2024 12:55:07.662   4250.776749180815             417.5615021090025             5453.169216707862             
01 Jan 2024 12:56:41.396   4281.537620190751             1116.380422091772             5329.117888144987             
01 Jan 2024 12:58:15.154   4267.329138080983             1803.652203447342             5148.899718827794             
