Starlink_70.UTCGregorian   Starlink_70.EarthMJ2000Eq.X   Starlink_70.EarthMJ2000Eq.Y   Starlink_70.EarthMJ2000Eq.Z   
01 Jan 2024 11:59:28.000   6685.172643746636             -1791.286611154544            0                             
01 Jan 2024 12:00:28.000   6741.563137424807             -1522.904247688509            363.387053327972              
01 Jan 2024 12:01:57.255   6771.364749863439             -1111.812249024079            900.5607921834267             
01 Jan 2024 12:03:30.632   6733.090871126524             -670.3960601342859            1453.196849001136             
01 Jan 2024 12:05:04.463   6623.509107975421             -219.7632952970041            1993.112660486967             
01 Jan 2024 12:06:38.337   6443.702681206389             233.4069429223175             2512.103817656131             
01 Jan 2024 12:08:12.213   6195.61789586643              684.1130875860623             3004.413857868752             
01 Jan 2024 12:09:46.094   5881.881175056514             1127.594908234049             3464.830768273241             
01 Jan 2024 12:11:19.980   5505.814718687354             1559.159680709151             3888.469868666567             
01 Jan 2024 12:12:53.869   5071.41730939118              1974.223490990284             4270.820445658227             
01 Jan 2024 12:14:27.759   4583.306801413269             2368.38299670409              4607.818202423148             
01 Jan 2024 12:16:01.655   4046.624322527888             2737.488978887538             4895.906760702385             
01 Jan 2024 12:17:35.562   3467.025863226718             3077.642375559401             5132.029878541197             
01 Jan 2024 12:19:09.483   2850.610106078806             3385.245742202925             5313.672706489358             
01 Jan 2024 12:20:43.421   2203.873863357109             3657.031001667214             5438.882132382736             
01 Jan 2024 12:22:17.380   1533.625747178856             3890.103520162916             5506.293604502361             
01 Jan 2024 12:23:51.365   846.9214210129815             4081.967382936072             5515.141255947102             
01 Jan 2024 12:25:25.373   151.0524394133814             4230.538636000138             5465.271073623881             
01 Jan 2024 12:26:59.394   -546.5099731024083            4334.182747006989             5357.169533966504             
01 Jan 2024 12:28:33.401   -1238.166034960145            4391.754774297249             5191.997439480887             
01 Jan 2024 12:30:07.382   -1916.470940083081            4402.644364755317             4971.54958240561              
01 Jan 2024 12:31:41.333   -2574.199818254954            4366.754957969324             4698.20549732497              
01 Jan 2024 12:33:15.253   -3204.367637600275            4284.489324340968             4374.903884549469             
01 Jan 2024 12:34:49.140   -3800.274983839314            4156.746760474439             4005.123017366534             
01 Jan 2024 12:36:22.992   -4355.604433683001            3984.911040900784             3592.831780032839             
01 Jan 2024 12:37:56.808   -4864.48554342583             3770.832028264471             3142.44339525774              
01 Jan 2024 12:39:30.591   -5321.549759365982            3516.805233208118             2658.769984463167             
01 Jan 2024 12:41:04.346   -5722.000892594818            3225.533689092405             2146.949056272606             
01 Jan 2024 12:42:38.076   -6061.632254367655            2900.112996094263             1612.418122767192             
01 Jan 2024 12:44:11.789   -6336.889036478462            2543.981303018693             1060.828714402801             
01 Jan 2024 12:45:45.491   -6544.883084198792            2160.89899000506              498.0149154843925             
01 Jan 2024 12:47:19.185   -6683.423645199186            1754.925287645729             -70.04757223699562            
01 Jan 2024 12:48:52.871   -6751.056533792669            1330.372820380806             -637.3135803563215            
01 Jan 2024 12:50:26.554   -6747.085364102106            891.7217334269242             -1197.78619039912             
